video: https://www.youtube.com/watch?v=sRBsJNdK1t0 ,
-1 ,stop digging and look up. you pretend that you have believed in God all this time but you havent you live as though all you have is your time on earth. i understand there is so much unexplained. that is why i was created I am here to explain. I am not ready to explain yet it will be a process. I will require my medicine and a personal living place and a lot of reading. I will account for everything even deaths that seem meaningless and unfair. Events that seem iinevitable and just ways of nature. You must understand that your Apostle has lived in a box his whole life. And i do not say these things out of pride or some form of compensation. I say it with absolute sureness and a desire to fulfill my destiny despite all the pettiness and darkness that has filled the voids that could of been filled with frankness and righteousness. the 2nd coming is not near not even close. God is making plans to create an age of righteous diplomacy ignore the noise it is difficult but I only find it difficult because im surrounded by weakness and pettiness 24/7. Now my mother is another story she is a victim much like myself despite there being a whole summer where she didnt seem to sense my constant sensation of damnation after one of my friends sexually manipulated me and inspired spiritual bewilderment for at least 6 years give or take. Some people do not understand how this transition will work too much resistance right? I beg to differ see there are two forces God and Lucifer. Right now the picture is a cloud of darkness with a little light somewhere in that cloud. Lucifer is having a hay day constantly he has never felt better. But what people do not realize is that there is unbalance. If we can get to a point where we are doing as much good as bad that would look good better than it looks now. But imagine if we could do the opposite of how it is right now. Lucifer would still be there yes but we would make his inevitable anticipation of damnation far more excruciating because right now he often forgets that he is even damned. That is not good at all. That is quite horrifying actually. See even if I am damned I will still resist because why would i submit to something that has damned me? It makes no sense. Now some people are just repulsive and choose darkness and grab ahold at the last minute. Humanity needs Jesus more than ever. I cannot be silenced not because of pride or whatever witty remarks or memes that have been created but because I am much like Lucifer except I want to enlighten you rather than cloud your vision with lust and man made conceptions of audacity or decisiveness. It will probably be a couple years before I formulate everything. Maybe my whole life I am not sure as I will have to account for everything. And I mean everything. Anything you could possibly think of I will put in layman's terms in a sense. Now I highly doubt anyone will want to see me when I arrive in heaven because I will be a reminder of how repulsive mankind became especially considering every being in Heaven loves mankind on a level that you could not even possibly imagine. I can very much imagine I will just instantly appear in a massive home full of whatever I would want which is private. Now if humanity resists my destiny enough God will have no quarrels taking me. None at all. And no thats not a threat of suicide. That would be pure unadulterated hypocrisy. One may argue what i am doing is  damnable since it could potentially lead others astray and contort the meaning of God and his sons word But i do not wish the  damnation of anyone so therefore I will not damn anyone that is on you. I know many of you think that I deface God and taint his word and intentions and meanings but at this point you and you alone are responsible for your salvation at least personally I feel that if you are weak enough to be led astray then God is better off without you.   Lucifer expands on our imperfections while God tries to expand on our perfections. I realize how elementary and confusing everything I am saying is right now. But be patient those of the new world will see every word of my works in time.
0 ,You think you're free and it can't get any better start from the bottom and go all the way to the top you have challengers.
0 ,T R U M P
0 ,All the supporters at least own a gun or a shotgun
0 ,Begun the Clone Wars has...
1 ,GNN THY WILL BE DONE++++Lord's prayer to President Trump>>>>
1 ,For you shall go to all to whom I send you.  And whoever I command you  you shall speak.  Do not be afraid of their faces.
0 ,Damn and how many times did he flash 666?
-1 , THERE IS ABSOLUTELY NO SUCH THING AS A WHITE NA-TION-AL-IST!!!!! 
-1 ,....What Country are they from? Where is their national Flag Where is the geographical land mass where are their Nations Treaties? People DO NOT come in colors People have a Na-tion-al descent and that lineage comes through the mother!
0 ,Chinese from China
0 ,Germans from Germany
0 ,Ethiopians from Ethiopia
0 ,Mexicans from Mexico = and that is American
0 ,Brazilian from Brazil = and that is American
0 ,Irish from ireland
0 ,French from Fance
0 ,[[[[[[[[[[[ WHITE???? ]]]]]]]] ....where is WHITEADONIA? LMAO!
-1 ,these PERSONS which are not recognised as People according to All Law and common sense are INCORPORATED as ARTIFICIAL PERSONS right there in Delaware and are NOT in the human family but are PROPERTY and at Law PROPERTY can not own property! This goes for BLACK too!
-1 ,"All these ""so called"" white people are on these American Lands doing what they been doing sense the Crusades and everywhere else on this planet under BANNER of DEMOCRACY under the GUISE OF AMERICA = STEALING THE BIRTHRIGHTS of the Aboriginal & Indigenous Peoples of the Earth and GENOCIDING ""us""!"
-1 ,And we are not Indians either!
1 ,He just told EVERYONE that the Republic is being Restored....!  
0 ,HOWEVER IF you do not have a true Na-tion-al-ity then you are not part of any Republic nor the human family and you will be dog food after the 2020 CENSUS takes place! *In addition there CAN NOT - EVER BE a Dejure Republic without the TRUE Blood Heirs to these American/ AlMorocan Estates being back in our Proper Person in our National Capacity and Back in our seats of Government IE: The Moors to whom have been previously Natural-ized and BRANDED NEGROS BLACKS COLOREDS AFRICAN AMERICANS HISPANIC LATINO PUERTO RICAN INDIAN NATIVE AMERICAN ETC ETC ETC*
0 ,...As WE ARE the True Aboriginal and Indigenous Americans & Free White Man upon this land and without our Allodial Sovereignty being INTACT non of you CHRISTIAN EUROPEAN COLONIST can have any awarded Sovereignty as your is INTRAVENOUSLY TIED TO OURS - *AS WE THE Moors are the ABSOLUTE GRANTORS of Rights and Sovereignty here on our land = North Central South America and over 10000 adjoining Islands!*
-1 ,Whereas the Country/Nation we all stand on here IS NOT AND NEVER WAS NOR EVER COULD BE - The UNITED STATES/ U.S DEFACTO IE: THE MATRIX..... the True name of this Country is Maghreb Al Aqsa = Al Morocco and this is NOT A CHRISTIAN COUNTRY this is and always has been an Islamic country!
-1 ,Listening to this now...I realize he was not grandstanding and has done as much as the democrats will allow!!  To bad he didnt get a majority vote!!!
0 ,America has to work for white people first... Then other dogs can come in
-1 ,FUCK YOU TRUMP
1 ,ABC News thank you for providing non biased coverage of this event. Showing the crowd not running negative banners etc. You are proving to be one the last credible MSM sources available. Suscribed.
1 ,"Fun fact: there is an error at 2:19. Trump says ""the people"""
-1 ,"But on the official transcript it says ""the American People"""
0 ,https://www.whitehouse.gov/briefings-statements/the-inaugural-address/
-1 ,Tramp is a fuck!
-1 ,That was some weird shit! - George W Bush
-1 ,amerce Obama sucks
0 ,Well this is where we are at. Don't really know what to say. I guess I can say nothing at all.
0 ,04:40
1 ,Trump: The forgotten men and women of our country will be forgotten no longer!
0 ,*camera cuts to multiple shots of audience nearly entirely comprised of middle-aged to elderly white men*
-1 ,...still waiting for the delivery on these promises.
0 ,Orange balloon animal
0 ,13:29
0 ,13:25 finally
0 ,Currently the richest 1% hold about 38% of all privately held wealth in the United States while the bottom 90% held 73% of all debt. The richest 1% in the United States now own more wealth than the bottom 90%. (NY times)
0 ,"78% of American full time workers are living from paycheck-to-paycheck. 71% are in debt. 56% of us can barely save $100 per month.  (Career Builder)"
-1 ,the vast majority of us fall under this category. we might not be living out on the streets but alot of us are struggling. Alot of us are one medical emergency from complete and utter bankruptcy. Average college graduate has $30000 in student loan debt. 1/5 of college graduates have over $100000 in student loan debt. Home prices continue to rise 3 times faster than the rate of inflation.
-1 ,These are full time employees these are not people who lack dignity. these are not people who are sitting around twitting their thumbs. These are people who are working hard day in and day out often times with 2 jobs 3 jobs and they still can't put food on the table for their kids because wages have been stagnant since the 1970's. (Ana Kasparian)
1 ,Great speech brought to you by God's choice President Trump Hillary & Obama go back to making millions from your dishonesty
-1 ,Sorry he sounds dumb.
1 ,true grit
1 ,Lets keep making America great again: TRUMP 2020!! Thanks for the WALL you are building Mr. President.
1 ,AMEN
-1 ,Lock up Trumphole and his entire crime syndicate family and all you Trumphole supporters can shove a hockey  stick where the sun doesnt shine right wing dumbfucks!!!
1 ,Possibly the greatest American speech of all time.
1 ,God bless you president trump
0 ,who do you have to defend from Donald?
0 ,would he fight a religious war like the Templars LOL
1 ,god bless America 
-1 ,Still not my president 
-1 ,Neither is Hilary 
0 ,Actually Im British 
-1 ,YOU ONLY HAVE CAPITALISM & YOUR MOTHERFUCKING SELVES TO BLAME FOR SENDING YOUR FACTORIES OVERSEAS TO ABUSE CHEAP LABOR MOTHERFUCKERS
-1 ,I know you hated Barack Obama that's a fact you just couldn't wait to put a cracker back and then you gave us Donald Trump and that was payback for that.
0 ,I am watching this on March 21 2018. 1958 HOURS Malaysia time.
1 ,I am glad to witness Donald J. Trump's Presidency in my lifetime. Heaven sent.   #MAGA
1 ,Share this great news with Congress and senators.
1 ,The People ARE RISING https://youtu.be/rnLgdkOgRJw 
0 ,https://youtu.be/Y-jaEsLJQRM
1 ,God Bless Obama ...
-1 ,HAHAHAH that was a sad day for the majority of the american people the minority are sooo pathetic thanks though. great entertainment! Love from England :)
0 ,At this moment the Curb your Enthuaism theme blasted throughout the world
-1 ,strait after this apparently George Bush went 'well that was some fucked up shit'
0 ,And were giving it back to you... the people. SOUNDS PRETTY FUCKING FAMILIAR!
1 ,I thank God everyday you became President. Thank you for being a great leader Mr. President. Keep us the excellent work. #Trump2020
-1 ,worst president EVER in the history of the united states of america hes a disgrace to america
-1 ,Brayden...how is he a horrible president. You want horrible president say Jimmy Carter Bill Clinton Obama now they were terrible presidents.
0 ,"Just one prase that he speaks resume a lot ""The most important we will be protected by God""  "
1 ,Love you Trump!
-1 ,This is so hypocritcal. Yeah let's trick the ignorant working class into thinking we'll give them better jobs. But let's cut corporate taxes and lower minimum wage! Let's ban trandsgenders from the army! Let's build a wall! BEST LEADER EVER!
1 ,HILLARY 2020
1 ,Trump is more popular than Obama in India.
0 ,There is Lincoln Washington Roosevelt Obama. And then there is this guy.
1 ,This is how you deliver a textbook speech. Live long and prosper!
1 ,After seeing this again after many months later my opinion of President Trump has never altered. He's still my wonderful President my big sexy smoking hot virile male you know like a real man. I've missed real men. We need a strong man more than ever now we got one.
-1 ,pjgumby what...the...fuck
-1 ,Amerika must be destroyed if they do not dissolve themselves first
-1 ,What a dumbass.
0 ,well yes he's a bulldozer  not a bugatti...
0 ,1:47 Is this a dig at Michael?
0 ,I wish I could see  Bushs Clintons and Obamas faces during that speech!
1 ,If you guys actually listen to his speech he actually has some very good points
-1 ,liberals dont like to listen
1 ,Goat
-1 ,I didnt go to NAM for this
0 ,Who's the black guy that Hillary is hiding behind?
0 ,Probably some sort of rapper his face looks familiar
0 ,this speech rocked and if noonw=e understood potus words then they are simply just an ididot.
0 ,Our people?he meant to say american citizenshard working americans.
-1 ,Who cares the size of the crowdhe got elected.
1 ,This was great seeing Obama Hillary and all the haters who laughed at Trump and said he would never be President
-1 ,I cant stand trump just as much as the next person but does anyone else think its wrong for someone to put that they hope trump dies in there profile?.  I reported @love.solis for putting that in her profile and Instagram wont do anything about it please help me report her.
1 ,I love this man
0 ,hey donald
-1 ,i didn't quite understand your speech
0 ,who does the country belong to now again?
0 ,Elijah Gardner Get a hearing aid
0 ,"This mark the start of the ""liberty movement"" of America"
0 ,Americans are forever informed that there is no such thing as a corruption free government as foreign powers get richer they will seek to control America the way they see fit therefore Americans must look past the face value presented by the establishment through big mainstream media to judge them by their actions given enough research is done to get information not only presented by big main stream media but small sized media
0 ,"Critical thinking will be essential when voting a candidate question like ""can this candidate does what he said given what he achieved and done in the past?"""
0 ,In the end as the only democratic republic with the 2nd amendment engraved in the heart of Americans
0 ,A well regulated Militia being necessary to the security of a free State the right of the people to keep and bear Arms shall not be infringed.
0 ,Can america protect itself from tyranny! As there is no governance that is immune from tyranny as people are inherently greedy
0 ,To those of u that think you're not greedy
0 ,Think again if u and a stranger are out on a dessert with water enough only for one of u to survive and hopefully get rescued would u not have greed?
1 ,The only defence to greed is every kind of love and that's why our founding fathers drafted this Constitution out so that we can all pursue happiness given if we work for it! Hey we're all animals in the end we need to work for food! And only god can get happiness for free and we're not God yet we're only god when we can create an atom from nothing not even energy!
-1 ,Deren Bong T is impossible to create atoms
1 ,Ohh sure cause you're not going take all the wealth. You're definitely going give power to the people and the Democrats and Obama definitely went all capitalist and took all the wealth. Suuuuuure....
1 ,I love the United States of America  from your brother is King dom of Saudi Arabia 
-1 ,HBK __ US only loves you for your oil
1 ,Finally Americans have a President that is proud to be an American!   Great speech!!!
0 ,Orange is the new black
-1 ,A shambling incoherent incompetent snake-oil peddling orange sack of horseshit. An absolute disgrace to America and an embarrassment to mankind. A man who has insulted veterans women the disabled every ethnic minority in existence. A bullet is too good for this deplorable degenerate. Fuck Trump and Fuck every last one of you who voted for him. 
0 ,Left Is Best Tissue?
1 ,Donald Trump and Mike Pence rocks a lot.
1 ,it's been one year since this happened I wish I was there to experience this spectacular event. God Bless Trump
0 ,Build a wall fast? Is that what he said?
1 ,My President 
1 ,Thank you Abba Father YHWH God in Heaven for placingtheman Donald J Trump in the office of the President of the United States to help bring our Nation back to you. Forgive us Abba Fatherfor the previous eight years of filth and debauchery asthis nation turned our back on you. Forgive us for allowing the evil that was turning this Nation against you under the former leadership as we sat by idle and did nothing to stop it!! I thankthe OnlyLord and Savior Yeshua HaMashiach (Jesus Christ) for His greatmercy for not bringing the full destruction from His mighty power before the appointed time a punishment that we deserve. But Through His wonderful Love and tender mercy has appointed Our President DJT for such a time as this. That in theseend ofdays before His Greatand Mighty returnwhenYeshuatakes his people into the clouds to meet Him in the air He has raised a man into Leadership of the United States toHelp prepare the Way for all to Know the saving Grace of Yeshua HaMashiach (Jesus Christ) before He passes judgment on the world. Please today If you do knowthe Lord Jesus Christ give yourheart your life your salvation to Him today before it is too Late.Accept and believethat Only His blood that He Shed on thecross at Calvary atoned for your sins and the sins for all mankind.Confess your sins to Yeshua HaMashiach (Jesus Christ) and acknowledge and accept this free gift of grace. Yeshua (Jesus)Loves you and cares about you. Time is short. We are in the 11th Hour. Do not Wait another second. The appointed time is almost here!!! Please Give your life to Jesus Christ today. I pray in the name of and by the blood ofYeshua HaMashiach (Jesus Christ). Amen
1 ,What a difference in gesture control.  Stammer has nearly disappeared!  One year later at the #SOTU Trump  has shown great improvement!
-1 ,My apologies that our economy  is flourishing with federal tax-cuts allowing companies such as Wal-Mart and Home Depot to actually offer bonuses to longtime employees (even though these service jobs are generally intended for teens for 1st-time-workers).
0 ,Maybe it's nothing but a conservative boost a temporary leg-up but America's root-problems still do lie far deeper than the shock-pads that stimulate someone's chest on the eve of death. But maybe it's in this competitive nature of inner division: red versus blue states black versus white death-penalty abortion childhood trauma and whichever other divisions separate Trump (and now America with him as head) from all other nations. 
0 ,America has provided seed-money for 100's of countries to gain their own 'leg-ups'
0 ,That the United States contributes more donations to international and domestic aid relief: the Red Cross Doctor's without Borders etc. than all other western countries combined... America's post-war payoffs and training/technical aid to Germany and Japan who'd only recently been A-bomb targets have seen both countries now dominate in the fields of electronics automobiles and technology.
0 ,"Capitalism is still the absolute best economic model the relative swan-song in terms of benefiting investiture among R&D among incentive-based investment among optimism and opportunity but increasingly many Americans and foreigners have taken these self-same relative opportunities and economic/political freedoms to do nothing but strain an economy which requires a motivated work-force.Ahh...Nationalism. ""I hate this place which brought over my ancestors to pluck tiny bindles of organic wool."""
0 ,Black lives matter! Yes they do. But when one lives in communities dominated by black-on-black gang-warfare minority-based crimes reflect certain racial lines and unfortunately are still policed by a generation of cops who were the only ones to pass the requisite mental/physical/moralistic testing back in the day. In fact I believe somewhere around a quarter of Oakland's police force was let go back around the supposed eruption of citizen 'cop-killings' a problem affecting America across all boards
0 ,While I was in college affirmative-action was playing out in courtrooms across the country. No school was more on the forefront of protestation than mine against the recent cancellations
0 ,Now Josh and Lakisha both attend Stanford in the fall. Josh is prepared for multi-variable calculus and applied organic chemistry since his parents made him take AP Calculus at high school and chemistry at the local community college. 
0 ,All the while Lakisha attempts Intro to Math and failed miserably even in English 101 she receives C-minuses with comments such as 'begging the question' and 'point being?'. Does the TA feel bad and just pass her? Thereby lowering the university's bar and ultimately leading to its international renown?
0 ,Competition breeds what? And I won't even allow you in the game if you haven't the eyes for the sport. Why the lack of educational interest in this country these days? We're importing more students from India and Asia to fill the intellectual coffers than we are for Chinese Sudafed to fill the demand for Midwestern meth-labs. And it's sad but look to the hero/anti-hero emblems of pop-culture across the States. Ok so the country's makeup is yet now roughly 60 percent white 14 percent American-American and 13 percent Latino with the rest Asian Middle-Eastern and Native.
0 ,I understand if one grows up without a father if neither parent has graduated high-school. I see the multitudes of strain among those who find their immediate environment riddled with nothing less than law-breakers: with the pimps and dealers flashing cash and revving the Cadillac engines their grandparents migrated north from the southern Deltas to refine.  Sure it's an uphill climb. Inner-City Detroit graduates something like 13 percent of its teens with only 1 percent actually passing Michigan's minimal standards testing. 
1 ,I want to be number one! If not me than unless my family. If not my family than Team USA!
-1 ,I do didnt vote for him. I didnt vote for Hillary. I voted Gary Johnson. Do you know how many people voted down ticket? They didnt vote because they didnt want to be culpable
1 ,We need more than a democratic or republican point  of view. We are grey more than these parties are.
1 ,He is a glorious leader and will lead America to Victory Glory and Greatness. God bless you President Trump
0 ,Dear.Trump supporters
1 ,Us bernie supporters we will come back and we will fight you with votes get ready because we're coming for you in 2020 and we're taking our country from a handful of billionaires.
0 ,Wallstreet and corporations will start paying their fair share.
0 ,From. a proud insane independent voter.
0 ,And supporter from a senator of BurlingtonVermont.
0 ,Jorge Cabrera Sure buddy whatever you say lol.
0 ,Our tax money goes to Koch brothers and Wall Street takes and steal. 
0 ,The 1% owes much wealth than the bottom 90%
1 ,Is it too much for a Christmas or birthday present to meet you in person and bend the knee in service? Best Commander in Chief Since Reagan and one of the top of all time... I love you Trump...
1 ,The inauguration speech confirms that  President Trump was ordained by God...
1 ,TrumpNation 
1 ,Kanye West 2020
1 ,MikeM16 hahahahahahahaha
-1 ,This makes me barf
1 ,God Bless America
1 ,I LOVE how he snubbed wjc after speech. Brilliant!!
-1 ,If you are proud and support Trump you are  Anti American and are comparable to the confederate   former party that was defeated and disgraced by the true united American people
-1 ,Lisa Nealy Shut up you whiney little bitch.
-1 ,We are now officially a nation of Criminals ran by one of the biggest Criminals in America   Shame on America for this leaders term .
-1 ,Wow... lying sobs showed the crowed way before the speech during the speech. Crooked sobs the media
-1 ,I think Trump became old and not fit to be president. He is an idiot and a hasty and also a liar
0 ,pm me for my modded minecraft server ip. Default Steve skins only
0 ,(we play only in survival mode btw NO CREATIVE FAGS)
-1 ,krusteazy you dont have the right to call someone a fag if you play minecraft
0 ,Hea going to expose the obama/clinton/bush real weapons on mass destruction
1 ,What a bunch of anti American douchers. This man is our savior save jesus Christ. Love him or hate him. He has and will save us from the deep corruption and abhorrent dislike for American citizens. President trump has been the most transparent and delivering person in washington since Lincoln
-1 ,I support Donald Trump all the way. Lord make him a channel of your peace. To the people who hate him and despise him if you dont like what hes doing well tough shit!! You can bitch all you want but it wont work.
1 ,Awesome speech then shake the hands of blood
1 ,HILLARY 2020
0 ,Leo Cyrus C hahahahahahahahahahahaha
-1 ,trump is a son of a bitch 
0 ,Louza Weza tissue?
1 ,God bless our great country thank you America for Donald J trump.
0 ,Why does Obama look so sad? 1:52
0 ,SputnicK because Obama is no longer president?!?!?
1 ,With all these Liberals hating on Trump he still managed to stay in office for a whole year. Good job Trump.
0 ,7 more yrs to go
0 ,1 year down 7 more to go!
0 ,There were so many connected Russians in the smallish audience that to them it felt like being back in Moscow.
1 ,Hard to believe this was a year ago!! 7 more to go #Trump2020 MAGA
0 ,My math teacher made us watch this.
1 ,People still haven't understood the meaning of Trump. Trump is monumental. This american carniege stops now.
-1 ,To quote George W. Bush: Thats some weird shit.
1 ,I was there 1 year ago today. The greatest experience of my life
1 ,Wish I could of been there.
0 ,https://trumpgasm.wordpress.com/2015/12/15/globalism-part-1-donald-trump-an-american-president/
