0;https://www.youtube.com/watch?v=YmFmNbsyEo8;;
0;..........;;
1;Based on the comments I see here and on some of their other videos I feel like I'm the only who likes their music _ Not as much as the videos obviously, but I think the music they make complements and completes the awesome videos. It's like watching a movie. I might not listen to a song off the soundtrack otherwise, but you get more feeling out of a scene when the song playing just feels right for it. That being said I still would listen to their songs by themselves.;;
0;https://timebucks.com/?refID=214996001 https://www.youtube.com/watch?v=VacvQbug5s4;;
1;Okay. First off... yes, they did, in fact, recycle. Secondly, laser printers, not ink. Thirdly, actually printed. No chromakey or green screen. Don't believe me? https://youtu.be/BFh8iLfCIRQ . Especially the scenes when they're doing print tests. I only wish I knew what kind of printers they use, because I WANT one.;;
-1;"I love OK Go and their videos, but this one is kind of disappointing. All the stop motion in between makes the video look artificial, so probably you wouldn't see any difference if they would have done the paper stuff with CGI. I really loved all the other videos before, especially ""Upside down & Inside Out"" and also the music itself, but this time it doesn't blow me away like the others, it's not even impressing me at all. :( I mean a good try but sadly not the level like the last years.";;
0;Keniatan yang hqq;;
1;OK Go is the definition of art.;;
0;Why do you consider this normal? Is it clear that it is a mental desease (just kidding);;
0;What printers were they using?;;
0;that paper is graphic art or i am drunk;;
0;Where the printers themselves recycled? That’s a lot of plastic waste!;;
-1;So they make creative videos just to overcompensate for their lack of good music.;;
0;R.I.P. Youtube compression;;
1;We don't deserve your creativity _;;
0;ammmmmmmmmmmmmmm, this is White stripse!!!!;;
-1;Ok... and what about the cost in energy to print all that, and recycle it, and the fact that most recycled paper goes to secondary uses like toilet paper and tissues. Ok, so you made something that is extremely wasteful something slightly less wasteful... what a joke.;;
-1;Oh NO! Watch out Lorax is coming;;
-1;Thanks for the epilepsy warning asshole;;
0;Anyone can identify the printer model? It looks like a printer that won't fail on me.;;
1;Always love your music videos! So visually expressive and interactive, and you never know what is going to happen, so you feel so hooked just watching every little bit!;;
-1;I am more curious about what brand of printer those are than what brand the paper is. Like those must be the best printers ever!;;
0;Director: Dwight Schrute;;
-1;Ok go have always been a band that does amazing video but mediocre music. It's a shame really.;;
0;dundler mifflin might want to collab with Ok Go;;
-1;They sound like the wiggles of 2017;;
0;What a waste. Children in Africa could have eaten those ink cartridges.;;
0;#______________;;
1;Amazing!!;;
0;its end love.. but with printers!;;
1;You guys are really the most innovative and hats off for your effort and for this wonderful video..... amazing bros.,, Keep entertaining us ...again I saying the most innovative ever I seen for a songs all of urs are really really amazing;;
0;Can you guys collaborate with daft punk?;;
1;MrAbell12 yes yes *yes* y e s *Y E S*;;
1;My computing teacher showed me this ever since I've been addicted to this;;
0;Quien. Vino por Javier. Alatorre;;
0;bake choose angle useful vegetable society imply clean cattle zone.;;
1;King of MV ___;;
0;aldo prasetyo;;
0;Follow from palit;;
0;Did anyone else notice that the lyrics in this song is about Suicide, there is a lot of evidence...;;
0;Is it wrong that the only thing I want to know is what brand/product were the printers?  ::looksatcrappyprinterjustdie::;;
1;Brilliant ideas of this concept music video! :D;;
1;How do these guys always come up with the most amazing concepts for videos?!?! I remember when we all thought the treadmills were cool but where could they go from there? Boy we're we wrong;;
1;This band always wins the internet. SO COOL!;;
1;The legends are back! Love this song;;
-1;Bad song... Ok video...  FIND YOUR DAMN GUITARS AGAIN AND MAKE SOME ROCK!!;;
0;lmao they broke youtubes quallity control;;
1;OkGo has done it once again _________;;
1;What a Amazing!!!!;;
1;OMG! _____You're amazing guys!  Keep making videos like this! So far I loved all of them!;;
1;"“Why do you guys always make avant-garde, expensive, bold videos?”
“It’s obsession.”";;
0;lol;;
1;Without a doubt the second most interesting commercial I've ever seen.;;
1;You guys give me chills EVERY TIME! oh my god;;
0;Nice vid. Not too keen on the song though;;
1;You made a good impression!;;
1;You made a good impression!;;
1;Thank you so much :);;
0;you guys could make a container of sour cream entertaining, I swear;;
0;lo volvieron a  hacer volvieron a deleitar mi vista y mis oidos con una obra maestra estoy anodado  me encantgo este video como muchisimos otros mas;;
0;This reminds me of Gorillaz for some reason. Not saying that's a bad thing.;;
0;"A lot of paper for this stupid song?
SUCKS!";;
0;Anyone else notice Damian slip on some paper at 1:19?;;
0;Not a single paper jam in video. Obviously fake.;;
0;Dunder Mifflin will not be able to compete against that...;;
1;where do you even get these ideas???;;
0;1:19 CAREFUL THERE MATE! __;;
-1;Proof that bands no longer care about the song! Just the video.;;
0;PC Load Letter;;
0;can't help but get this feel from Gumby...;;
1;HOLY COW! These guys did it again!;;
1;Every year their videos get more and more creative. This is mind blowing. Been a fan since I was 13 now I'm 21 and still enjoying your music and your videos.;;
0;pc load letter? what the fuck does that mean?;;
-1;The mother earth is crying;;
1;the  gods of  of video art !!;;
1;Wow - as usual, Ok Go doesn't disappoint! Great song and spectacular video. Thanks so much for blowing my mind again... I don't think there is much left, so give me some time to recover... :-);;
1;I love this song and video;;
-1;It's cool and all. But I wonder if they're starting to run out of video ideas?;;
1;Awesome;;
1;Dope!!!!;;
-1;WTF;;
-1;Why do they bother with the music? Just skip to the gimmicky video;;
1;THEY'VE DONE IT AGAINNNNN!;;
0;WHAT IS THE MEANING OF LIFE;;
1;Another amazing video by okgo YASSS GJ!!!!!!!!!!!!________;;
0;Love'em but this has to be the most stupid video they have done. A screen set, and some projection mapping would have achieved the same effects especially because they ran a static capture feel. Refresh issues would have been none existent.;;
1;An 'OK Go' music video never fails to disappoint. I know their sound isn't for everyone, but I personally enjoy it.;;
0;Okay, so I know what kind of paper to buy, but what kind of printer is that?;;
1;There are a lot of comments so I don't think the band will see this one, but if anyone on the creative team does I just want to suggest the concept of using 360 view with a music video, it is a new technology that has not really been used to its full, and I think it would be one of the most groundbreaking things this already legendary band could do, like if you agree.;;
0;must be the herron;;
0;What printers were used??;;
0;Didn't like the music but liked the video;;
1;its the best of the OK GO, both video and song, it's obsession! thx guys, you are incredible!;;
0;"A look so quick, a movement so slight
You could almost imagine it didn't just happen
But everything will change, in just one look, one little glance
It's not passing fascination now, it's obsession
Uh huh, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession
And it's physical
It's like standing at the edge:
Your blood starts to pump, 'cause you're worried you might jump
And your head throbbing like a heart
And your heart throbbing like a drum
And the drums throbbing like the point is just go ahead and jump
It's obsession
Uh huh, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession
There's only one way out [x4]
A look so quick, a movement so slight
Oh it's not passing fascination now, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession";;
1;los amo_;;
0;What a waste, the kids in Africa could've eaten that paper;;
0;This is a good video and i know this was done only one time because there is one printer that miss the sync and wasn't edited.;;
1;Oh my flipping Gosh;;
0;How many paper cuts?;;
1;Please share a behind the scene!;;
1;I don't like their music I just love their videos they're creative as hell;;
-1;Recycled that paper but you ain’t never getting all them fucking ink cartridges back.;;
0;<CE3;;
1;Every music video is a piece of art;;
-1;If Hot Chip are a brilliant small independent cafe, then these are like Starbucks. An over commercial poor alternative that you would only use if there was nowhere else to go. They could spend a bit more time on the actual music rather than gimmicky expensive videos.;;
0;"{LYRICS}
A look so quick, a movement so slight
You could almost imagine it didn't just happen
But everything will change, in just one look, one little glance
It's not passing fascination now, it's obsession
Uh huh, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession
And it's physical
It's like standing at the edge:
Your blood starts to pump, 'cause you're worried you might jump
And your head throbbing like a heart
And your heart throbbing like a drum
And the drums throbbing like the point is just go ahead and jump
It's obsession
Uh huh, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession
There's only one way out [x4]
A look so quick, a movement so slight
Oh it's not passing fascination now, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession
Uh huh, it's obsession
It's obsession";;
-1;The paper cuts...;;
-1;No trees were harmed in the filming of this video.;;
1;The ingenuity, creativity, and technical prowess that go into these videos never cease to amaze me... oh, and the song is quite good;;
1;Why isn't this trending?;;
0;Imagine how they rehearse this..;;
-1;RUMOUR HAS IT THIS VIDEO DEPLETED THE AMAZON FOREST BY 20% !! THIS PAPER COULD HAVE SAVED LIVES !!! TREE HUGGERS UNITE AGAINT THESE PAPER FACISTS !!!;;
1;....GREAT SONG THOUGH;;
-1;And I can’t even get one printer to do what I want;;
-1;Song should have been called Fuck You Trees!;;
1;#sick !=);;
-1;I'm trying to watch an OK Go video but YouTube won't let me skip this paper ad;;
1;this is awesome ______;;
0;"2:39 
First paper: ""Ok, got it""
Second paper: ""Wops""
Third paper: ""Nah, fuck this one""";;
1;Yall have the best videos _;;
-1;This looks like an ad for a printer;;
1;I think the video makes up for the song.;;
0;Need toner?;;
1;this is my favorite ok go song thank god there’s finally a video;;
1;"Wow! I want to hire the system engineer who built this setup.
As far as I know, printing causes the most problems with computers. Okay, my environment is little bit different: multiple printer models and manufacturers, different size papers with orientations, managed and unmanaged workstations, and multiple users.
But still wow!";;
0;fake news... it was bluescreened- see the blue screen on singers jacket in the corner at 1:30;;
1;love it  _____;;
-1;Well, they are back to promoting products in their videos.  I guess the last album where they went top 40 was an experiment (although this sounds like a Depeche Mode song to me for some reason, maybe it will chart as well).;;
1;Rock \m/;;
1;"I love the part where the singer signs ""It's obsession."" :) Nice touch.";;
0;_____ _____) : D;;
0;"OK GO: We need to make a new music video
*producer starts sweating profusely* H-how many printers do you need?";;
0;.;;
-1;Are you insane.;;
-1;All that paper wasted! I cant believe you would do such a thing to our environment, those poor trees wasted for some shitty video online :'(;;
-1;Cool concept. Crappy song.;;
0;This song feels very inspired by INXS;;
1;Wow that was wicked!;;
1;In the vein of Sledge Hammer, Hot Chip but still lots of original ideas. Amazing.;;
-1;what a waste;;
1;OK Go are a special kind of magic. Every video I've seen of theirs has been amazing!;;
0;I wanna see behind those printers;;
-1;what gay ass music video;;
1;You guys never disappoint with the complexity of your videos;;
-1;If only their songs were as good as their music videos;;
1;Cool song... would've hated to be the IT guy on set for that though... I can barely get 1 printer to print consistently much less 567;;
-1;If youre going to do such a creative video, you're going to want it to be perfect. Sadly this was not perfect and is disappointing. Some of the printers were out of sync. How did the director Or editor let this through production. Where's the obsession?;;
-1;Maybe one day they'll make a good song to go along with their videos LUL;;
0;All paper was burnt using nuclear chemicals in the most susceptible parts of the planet, and the proceeds donated to logging companies.;;
-1;I like these guys videos. But they are fake.;;
0;Anyone know what kind of printers those are?;;
1;I really appreciate that fingerspelling in there at 1:42. It was a pleasant little surprise for those of us that know ASL!;;
-1;Why is this on trending this is complete shit;;
0;Yet again, another great video with a terrible terrible song behind it.;;
0;God that looks sick but it better have been recycled omg :');;
-1;Awesome video best I've ever seen in.terms of creativity but too bad thier music sucks;;
1;Breezy i love you :);;
0;CAN SOMEONE CALCULATE HOW MANY PIECES OF PAPER THIS TOOK;;
1;OMG! This is the most amazing vídeo! WOOW awesome ____;;
1;Ok that was amazing;;
0;"Hey check out my music video ;-)xxx";;
1;What kind of wizard set up the printers?;;
0;Phuket.  The place is called Phuket.;;
-1;Nice sledge hammer rip off;;
1;I like pizza!;;
0;OkGo Music Videos = Peter Gabriel Music Videos;;
0;Me recuerda al vídeo de A Punk de vampire Weekend;;
-1;All that paper wasted NOOOOOO!!!!!!!!!!!!!;;
1;They always be having the best mvs and music___Thank You;;
0;get this app it pays you to walk by counting your steps then converting them to a virtual currency. sign up through me to help me out  sweatco.in/hi/adam376392;;
1;Saying you guys are creative is an understatement. *jaw drops*;;
1;Dwight Schrute hit his sales targets that week!;;
0;"4 x ? = 4.8 
anyone know what ? =";;
1;2:43 I love how he just gives up on that last piece of paper.;;
-1;Am a fan of creativity and imagination but this is way too wasteful. As artists we do need to find ways to practice our art that leaves as little impact as possible. Even with recycling, the ink cartridges, sheer volume of paper and harsh chemicals involved in these processes is way too much. https://www.livestrong.com/article/159591-the-negative-effects-of-recycling-paper/ Sorry guys, I'm out in terms of enjoyment of your creative voices.;;
1;Ink-redible!;;
1;Amazing visual! So glad you recycled :D;;
-1;Wtf is this smdh;;
0;Their music isnt my type but i love the vid;;
0;bad music but cool videos so it's worth it;;
1;Interesting;;
1;Noone makes music videos like OK Go! Awesome!;;
0;"WTF LOL PoPo
..";;
0;And I shall call this.... printer animation.;;
0;Videos great, musics lame and flat;;
-1;I gagged at the end. Grim.;;
1;Can I get this song on paper :);;
1;Yesssssss, I loove them!;;
0;____;;
0;___ __ ______ ________?? :);;
0;How the hell do you coordinate that many printers at once?  That just seems like a programming nightmare...;;
0;DEVO, this you?;;
-1;So much paper wasted;;
0;Trees are a renewable resource, and the recycling process for paper is extremely polluting. Recycle aluminium cans, throw away your paper.;;
0;They should have used Dunder Mifflin Paper Co.;;
-1;This song is pure garbage;;
1;is all.of this real? ?OMG;;
1;"""printing white sheets of paper? This won't be as cool as their other videos""
A minute in: *WHAT*";;
0;SAME;;
0;What;;
1;Whoever is coming up with the ideas for these videos is like the modern-day Hype Williams, just genius...;;
1;amazing production. I find it hard to watch all the toxic ink and paper fall to the floor. BUT what an amazing video.;;
0;____ _____!!_____;;
1;Well done guys. So much effort went to this video _;;
-1;Kids in Africa could have eaten this paper!;;
1;ITS TRENDING!!! _;;
0;They must have been born to show videos not to sing songs.;;
1;That is freakin insane. Automatic nominee for video of the year no doubt;;
0;Sounds like HP met Ting Tings shut up n let me go;;
1;I LOVE YOU :-);;
1;For gods sake stop being soo cool you nerds i love all ypur music videos!;;
-1;Geeeeeez all that paper;;
-1;Keep killing trees for your awsome video motherfuckers. This is so sad;;
0;"The printers are inkjet, I bet they preprint all the sheets, arrange them inside the printers and during the shoot they ""just"" need to flush paper through the printers.";;
1;Brilliant! Every time!;;
-1;But Greenpeace is a bunch of idiots who aren't really good at their jobs. Are you sure you wouldn't have rather given it to somebody else;;
1;... cant wait to hear just the audio so i can understand them;;
0;"This instantly come to mind:
Compare 0:40 and https://youtu.be/SAG4wFcWunE?t=6m30s";;
0;Voglio diventare famoso..prendo i video di peter gabriel e ci metto oltre allo step motion tanta tecnologia e arte (pseudo)...^_^ peccato che la musica non sia niente di chè..a cavallo fra pop ed elettronica;;
0;www.meendo.shop nice apparel, unique design. check this out. MEENDO10 code for 10% discount;;
1;How dare they be so creative and talented. That’s just rude.;;
1;hola mama!!!!;;
-1;Creative but so boring and the song sucked;;
0;___ __ _______ _______?;;
0;have u played that game withe tiles, majong.._;;
0;ever print cardz tho?;;
-1;They should spend more time writing better songs.  Fluff.;;
-1;Man. What a waste of papers;;
1;"The most elaborated use of a printer ever! And properly the best way. 
OK Go's use of colors always amazes me! :D";;
1;This would’ve been a great audition for America got talent;;
1;OMG;;
-1;they killed a lot of trees making this;;
-1;MEN-TIRA!!!  que foda;;
-1;I clicked on this because it was on my recommended it’s good to know it’s also a ad;;
-1;Anyone feeling outraged by a music video needs to check themselves. Your average supermarket uses this much paper and ink monthly.;;
0;________ ___...__OK GO _________;;
0;You forgot the most important piece of information, whats the name of this reliable and fast printer?;;
0;jx rhenj;;
-1;U guys suck at singing I wish I could take that time back;;
0;"INXS ""Need you tonight""";;
0;_____________________________ _____________;;
1;THIS IS AMAZING WTF;;
1;"Brilliant idea; song is super cool...Great Job!!!";;
0;Now imagine a world where one didn't have to preface actions with disclaimers on perceived values and morality. It's almost like living under a theocracy. Sucks we spend centuries oppressed and murdering each other. Just to turn around and trade one for another. It's like Loki was right, we where made to kneel, it's our natural state of being.;;
0;Maybe this is just Cgi.;;
0;this is similar to my mind art when i beat my meat.;;
1;"Wowowowowowowowowowowowowowoowowowowowowowo
____________________________________________________________________________________________________________________________________________________________";;
1;I'd go out on a limb and say they are this century's Peter Gabriel. very similar.;;
0;Either these are god-tier printers or  I really pity the IT team working for this video.;;
1;This guys always come out with amazing videos, since I saw them for the first time back in like 2006 when I fell in love with the treadmill video of here it goes again;;
1;Absolutly amazing !;;
0;0:50 People always ask for more cowbell. They went full cowbell.;;
1;Just when I thought you guys couldn't come up with more insanely creative ideas, you somehow pull this;;
-1;"Dirty art.... Nothing green about this. I've been thinking about this need for artists to express themselves in ever grander and more inventive ways.... Don't suppose they thought this pollution aspect through here so I am not pointing fingers... 
Young kids at school need to be taught about our artistic expression in a free nation - and the potential for detrimental, deleterious impact of each artist - all to assuage our egotistical desire for our 15 minutes of attention - on the health of the Earth and its environment. 
This clip is probably ""beautiful"" to you (arguably) but only briefly - as a disposable gimmick - a novelty - a small curiosity - like bubblegum maybe - a couple of minutes of your attention - .... but then consider the damage, the sheer waste..... The electricity, the ink, the toxins and the paper - the trees... The money.... The starving people close by... All because of an individual's artistic personal greed and vanity? 
Vandalism of the Earth. Selfishness without our being aware of this...
I am sure this was unwitting, but if not, then it is a sin. I sound like a killjoy - sorry. But If the artist could think more, maybe he could find a small piece of old paper and a take a pencil and make a drawing or poem that will be treasured far more without hurting the world - and uplifting spirits just as much, if not more. 
That's futurism - if there's going to be a future.
I say this as someone guilty of this type of vandalism who learned the hard way what guilt feels like.";;
0;dunder mifflin is quaking;;
1;Dunder Mifflin has really stepped up their game!;;
1;Love Ok Go;;
-1;I'm studying for exams and realized too late that this is the wrong video to watch at 2am.;;
0;"Lol. Seen the first paper and i thought "" Just one piece of paper man,  don""t worry about it that much."" then i was saw the rest of the video and it makes sense.";;
0;Did they program all the printers, oh my freaking lord;;
1;Some people didn’t like the song, but personally I thought it was amazing. Maybe even my new favorite song. It was so creative and so cool.;;
1;@andercheetah360 check this out;;
0;jesus christ epileptics watch out;;
0;Nothing against the song and/or band... but they could of done this with CGI, then nothing would been used, no paper to recycle, no ink wasted and truthfully it wouldn't of looked any better or worst for using CGI. I get the feeling this to be a wow kind of vid, but yea nope.;;
0;_____ ___ ___;;
-1;Much better video if you mute it!;;
-1;"This is stupid. The past few videos that OKGO have put out have been nothing but advertisement.
The one moment? Ad for Morton Salt.
Obsession? Ad for printer paper.
What next? Ad for Verizon disguised as a OKGO video?";;
;i wonder exactly howmany epileptic people read descs and why they didnt put that warning on the papers mentioning recycling;;
-1;Stop freaking out about the paper. Even if they didn’t recycle it it’s still just the environment. People freak out over wasted paper but neglect just about every other part of the environment. Just enjoy the creativity here.;;
-1;it's not about music) has it ever been?!));;
-1;so fuking annoying and so much wasted resources, no matter how you state that they were recycled;;
0;Anyone else digging the secretly advertisement music video theme from them? ___ But i do like the song!!!;;
1;Pushing YouTube to the limit... way to make progress happen guys! :);;
1;always love your idea;;
1;Wow the work involved crazy;;
1;"AMAZING 
#_____  ___LINE__""""@PL168""""
________
#______
________
____________0___ ____";;
0;How.;;
0;You guys can't make a good song so you make amazing videos. Can't hate;;
0;As a graphic design college student who has to fight for a printer that are connected to a computer or has ink in my labs this video is making me extremely jealous with these printers working seamlessly;;
0;They're likely not printing the papers on set. They're pre-printed and they put the papers in order for the printer to merely push it out.;;
0;"I was like let's see these fags 
Dame 10/10 for all that work with the printers and how long did it take?";;
1;Holy;;
0;They always have the best music videos but for some reason their songs are a bit boring for me;;
0;"It's a shame I don't like the song, because the video is really good.
(The song's not necessarily bad, it's just not to my taste.)";;
-1;Que poco escolosgicos!;;
0;I wonder how long did they make 1 video...__;;
0;I don't understand why they don't release some new music for video fuel... This song came out in what, early 2015?;;
1;Top tier conceptualization and editing;;
-1;pathetic;;
-1;I saw the first 3 seconds with all he printer and immediately knew sponsored video;;
0;Awesome video. I’ll stick to Dunder Mifflin paper though;;
1;Greg Buckingham you are hilarious;;
0;WOW!!  Worthy of a MTV VMAs award if only they were worth something nowadays.;;
0;ERROR: The number of paper used in this video exceeds the human race.;;
1;Never fail to impress;;
0;Try not to get satisfied video right here. I mean the paper not the music. The music sucks xD;;
0;"Bro I'm watching this right now and I might get a seizure..... jnmmio;fgearjmfgkio;arenmjgvfo;ujrewfnhbgou[qamwckowemc9pou[24iwcnjueeedafshljkjkjkjkjkjkjkjkjkjkjkjkjkjkjkjkjkjkncewc;uorweiqtg[fhuwejf;hbweio;lcnmwo;bewuorfgbu9woefcbojsadfnc;ljksdmclk;zxmcvxz";;
0;Everything was most certainly pre-printed in order for each printer by a color laser printer. The feed mechanism was probably controlled manually with an external controller for each printer. The cost and waste of this was probably less than a lot of other comparable media productions.;;
1;Dope!!!! This band never disappoint when it cames to music video..;;
-1;Greenpeace is kind of extreme. Maybe giving them money wasn't such a good idea.;;
-1;What a waste of paper;;
0;E la madonaa che roba bella;;
-1;This is a Tree's worst Nightmare.;;
1;You know, I can't even say they won't top so and so video they did, cause each one they make is technically amazing in it's own way. Shot in microgravity?  Whole video a slow mo of 4 seconds? But I'm still blown away by printers!;;
0;https://JAVHOSE.blogspot.com;;
