URL: https://www.youtube.com/watch?v=vNoKguSdy4Y,
0,Fuck lozzzzzz
1,i love you taylor swifft
0,2k18
1,cool
0,Two minutes of the song was her talking smh then she started singing smh
0,Anyone  from 2018
-1,Sad ok is no an the cakes or meybe
0,Jzb
0,ya tiene
0,2 min and 4 sec of talking come on girl
-1,I cant believe its 2018 this song brings back memories i wish i could see the old taylor again
0,who watch this in 2018
0,jappelle Sacha je viens du bourg palette
-1,listening to this music for years still do not understand what the heck she talks about
1,This music video deserves billion views
-1,The blame is on me
0,Anyone Listening to this in 2018
1,nice song
1,Cool 30 million subscribers you rock Taylor and I love you so much
0,Oooooooooohhh ahahhhhhhhhhhhhhh
0,Caralho t ficando velha mano mds
0,I miss this ughhhh im so old30 million subs baby
-1,I miss this Taylor but the old Taylor cant come to the phone right now cause shes dead
1,amazing lyricist she is
0,It reminds me of someone
0,this song is her story with harry styles
0,Watts up
0,1000 subscb
0,she say lay on mine
0,Yogesh singh 2018
1,Danm  His smile is really killing me
1,soooooo badly love this song
0,I saw her house
0,2018 xD
0,2018 alguem
0,Aaah esta musica
0,Anyone Here
0,Kto z polski SSIJ MALINE SSIJ MALINE
0,Is this really about harry styles
0,Omg I remember watching this when I was 5
-1,estupidos malditos hijos de su mam los que engaan a unas mujeres tan buenas personas se que es solo un video pero pasa en la vida real
-1,like quien lo crea
0,I think about Harry when i lisining this song
1,I like this
1,I love the song
1,23M yayyyyyy
1,Jadore
1,I love all of her song it is so amazing when i wuth my mom i was singing her song but this is the best
0,When taylor swift tiene los mismos subs q rubius
-1,I have trouble with my communication
0,Taylor swift looks like grace vanderwaal if she had short hair
-1,It is sad in the middle
0,Why does it start like that and she looks a little different in the beginning of the video and I thought it will start off with singing not talking
0,i find this song by searching ooooohhh ahhhhh trouble trouble trouble hahahaha
0,Trouble TroubleTrouble AhhhhhhhhhhhhhAhhhhhhhhhhhhh
1,amo esta music
1,i sing this so well i love it
0,Some people say that old taylors dead but its not its just somewhere inside herIts hiddien inside her heart
0,I knew you were meme maker
,Me recuerda a Patch y nora
,Hello john
,2018 anyone
,Im in trouble about my games
,Taylor INDIA LOVES YOU you dont need useless boys who are not even worth of you You DESERVE BETTER than you KNOW
,this was my favorite
,Harry cheated on Taylor Oh cmon Such a lie
,These songs hit harder when youre around the age of 1215 than  like 9 or 10
,I never knew this song was by Taylor Swift But it so good
,I love all of your videos  but the most is wildest dreams and true when you walked in sooooooooooooooooooooooooooooooooooooooo much
,We all need the old taylor
,Taylor Swift is this really ur  channel if yes then please reply me nd please give me a heart please I am ur big fan Taylor Swift and yes I luv u and your songs
,Fun with JDR u do know that she doesnt upload her management does They dont write comments nothing they only manage a video for sometime
,400 Mill
,2 minutos de intro v y cody carson o canta un poco mas shido v
,These memories kinda remind me of me and my boyfriend and it scares me including what happens next in the video  O
,This is almost a carbon copy of WE FOUND LOVE Even the monologue in the beginning Tacky af
,How many men are there in total in your all music videos Can you even remember each of them
,He is so beautiful and hot
,I love your voice IM YOUR NIGGEST FAN YOUR MY FAV CELEBRITY
,BIGGEST
,Still Favourite
,This video deserves to be in the billion gang
,When you can feel how hurt she is cuz you feel the EXACT SAME way
,YOU NEED TO GIVE A SOUL THAT YOU LOVEGamora You never love me  or her or anything Thanos  cries
,HE BROOOOKE MY HEARTHE DOOOESNT WANT MEBUT FINALLYYYYILL SET MY LOVE FREEEEYES ILL CHANGE MYSELF SO YOU CAN LOVE MEIM SO SECSY
,Bart baker brought me here
,Xvideos
,Can you do a song wich is little do you know
,I love the song so much
,It 2018 and I still listen to this song
,Its rare that a 19 yr old has a lasting relationship with sum1 who is 12 yrs older Isnt this a conversation she should have had with her mother
,Beginning was kind of creepy
,My favorite song
,Im your big fan
,Max from life is strange lmao
,Boys are trouble
,insert goat scream here
,AAAAAAAAAAAAAH
,QUE MERDAESPERA COMO EU VIM PARAR AQUI
,400mill
,is anyone here a fan of heavy metal XD
,i find this the best Taylor Swift song for some reason
,Tooo long intro
,i rly hope the next album to be a mix of all wonderful Taylors
,Yes yes yes  love you
,2018 Anyone
,Hai tay swift
,love from turkey
,Taylor Swift Wowwwww
,wellll
,this is amazing taylor
,Taylor es mi cantante favorita
,She wrote this song for her ex
,400 000 000
,it starts at 202
,I hate this song
,Cool song
,Teg
,400M
,I seriously love all the lyrics of this song The combination of her voice and melody make a real harmony It recalls my childhood memories
,Hey
,U Are  so beautiful girl  I  love you
,half of the song is just her talking about some random crap COME ON TS
,I could never be over that song or any Taylors songs
,I love you tay
,This is a very good song Taylor is just awesome She is such a cutie with an amazing voice
,DENIS TRAILER 2017 WARNER BROS MOVIE
,Denis 2017 110 Denis 2017 210 Denis 2017 310 Denis 2017 410 Denis 2017 510 Denis 2017 610 Denis 2017 710 Denis 2017 810 Denis 2017 910 Denis 2017 1010
,Denis 2017 110
,We love a song about Harry Styles
,Sorry to burst your bubble but this song was written before Harry and Taylor dated and released before they broke up
,400 millions
,M A Y 2 0 1 8
,SOUKA
,taylor swift rulz im a swifty 4 life
,ark 5 dk 4 dakikas giri amk
,how can the devil be pulling me towards something  who like like as an angle when he smile  love the line deep bitter yet truth
,I wish i was older than Taylor cuz shes sooo hot
,Who else gets a Paramore vibe
,2 00
,Wow taylor u sooo good at singing i wanna be just like you PS i love your hair
,I need the old Taylor
,Taylor Swift agreed
,Am I the only one that thought Taylors shirt had a picture of a donut
,Priscila Prox yes
,May yes
,400M VIEWS
,before you were insane
,Hoy 10 de mayo del 2018 400Millones de vistas  y aller se reconcilio con Katy perry
,I love  your song
,I love taylor
,her mama is trobule
,taylor dont be such a victim
,I have always wondered who was she singing this song for
,Bu arky ta ilkokul 3 snfa giderken o zamanki en yakn arkadamn sylemesiyle kefetmitim Deli gibi dinlerdim her szn ezberlemiim imdi aklma geldi aaym dedim duygulandm Uzun zaman olmu Sonra kz okul deitirdi ve sanrm bir daha hi grmedik Bunu okuyorsan selamlar Zeynep Snftaki tek arkadamdn teekkrler D
,so basically it was him thinking he was all that and then she remembered it all after all the trouble she went through
,It couldve been better if the music video single of I Knew You Were Trouble was released with Treacherous in the same videoIn this case the video will be 10 minutes long where she talks about finding the guy before Treacherous starts and when the song ends she talks about how she felt during the relationship with that guy and then sings I Knew You Were Trouble then she says what she learned from that relationshipBut still this music video of I Knew You Were Trouble is still good
,Evertime I hear this song its bringing me some memories from people that I never touched but I still feeling in love I never touched I never faced but I love it so much and I cant explain this sensation
,J Love You Taylor Swift
,Te
,WoahNow they are friendsyou know who
,Dashing Trishna Yes I do
,You trying to fuck Me to Thanks They arent Saying anything different are THEY No I dont think anyone would be able to admit that out loud to my face We were staying here in MY HOUSE TO ME ARE TRYING to get me in real time do they open the file to be able or not to my house for me I have no idea what was the phone and the electrician is coming to pick me to do anything Ok jso county got her  Mk
,400 MILLION
,Cad os Br Amo Essa MUSICAAAAAA
,Inserte Gritos De Cabra
,Joana dark 90 yes
,He never loved meI knew he were trouble when he walked inShame on me nowThis song describes my life
,Get Taylor to 30 mil
,Hl dinleyenler
,I love song
0,2018
,I love you song is cool
,I love your singing so good
,ark mkemmel
,Treble  treble
,Did you  notice that key is from Collins key
,May 2018 anyone
,MEI 2018
0,2018
,You knew i was trouble when i logged in 3
,Anyone in A P R I L 2 0 18
0,2019
,My  headmaster knew I was trouble as soon as I walked into his office
,Love video
,The guy reminds me of James Franco
,Hola
,Love this song
,i went bannanas
,jenial yala escuche en es paol
,Nostalgia Good times remember listening to this song at y friends house
,is it trouble that I love the song
,Google likes
,Crazy how this song still sounds actual while its 5 years oldTalented Taylor
,Love someone like you Love your selfIF not you are in truble truble
,This is musically chalenge
,Eventhough she made 2 albums after RED and its been 6 years since this song came out I still listen to it and it is ma fave song ever With lyricsmelodymvmonologue everything Just never gets old
,osas
,i like taylor
,This is my fav song
,2   0      1         8
,Hahahahahahahahahahah
,2018 love
,Last year at school me and my friend were like Sofia grace and Rosie I mimed and danced while my friend sang our teacher watched and people kept needing to tell the teacher things so we had out audienceWhile we were practicing I learned this song and I fell in love with it
,AHHH MONSTER MONSTER AHHHHH MONSTER MONSTER
,This is my dogs favorite song
,400M
,400000000 views
,El pillo de Dorian Gray haciendo de las suyas aun en la actualidad xD jajajaa el que haya visto PennyDeadful entender
,What album is this from
,TiLi D Red
,l its beautiful
,NOTHING BUT TROUBLE
,Como ele fez isso vom vc
,I like her boyfriend
,Its been 6 years
,M A Y  2 0 1 8
,Everybody says 2018 but why not 3000
,Love your songs
,400M
,I came here again May2018
,And somehow this turned into a meme
,Of course Dorian Gray is trouble duh
,Why is everyone watching it in 2018 it was made in 2014
,He llorado hermosa
,Here
,M A Y  2 0 1 8
,It has been 6 years This has been mine and my BFFs code song and this brings back a a heck lot of memories
,best
,I knew you were in trouble when you walked in shame of me now flew me to places i never been
,THIS VIDEO MAKES ME CRY EVERY TIME I WATCH IT
,put me in trouble harder daddy  like if u  evertytme
,I LOVE TAY TAY
,Love taylor so much I am just using my mom phone i love you so much my name is Rhea  Alpuche belizean
,This never gets old
,TikTok
,sds de RED  1989
,goat scream AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
,I love taylor swift
,Fro 2012 Dear God
,que de beaux souvenirs de cette musique en Algrie 1 2 3 viva lAlgrie
,400 Million views grats  you cant expect someone to love you if this person isnt able to love himself
,MAY2018 Anyone
,Shaytards anyone
,Trouble trouble trouble
,Finalmente 400 millones Swifties
,Your trouble
,400M
,Maybe he knew that when he saw me
,Why did you put a picture of somebody punching your husbined
,RIP old Taylor better than the new
,And 2018 I see this song because is perfecttttt
,is that james franco
,this song make me so sad
,he cute tho what is his
,his name is reeve carney and he is an actor  musician
,I love this song
,2987 even listening
,Troubles
,Me too
,Anyone from May 2018
,kralie
,In 2019 you know
,Harumi Chan MEEEE
,wowww 6 years ago
,I dont know if you know who you areTill you lose who you are
,It wasnt losing himIt was losing meLove these words
,2018 France
,One of the best of this generation
,One day my comment will be found so you will know that i really like Taylor SwiftBTW this song is better than all the reputation album except getaway car
,Vlad The Impaler not when dont blame exists
,Who else noticed the guy with the misfits jacket Just my punk ass okay
,Anyone 2018
,Love it
,I Like this songVery very best song
,PES 2013 Song I Thing
,Cinta Allah indo ya assalamualaikum D
,4b
,I LOVE THIS SONG
,Tay we all know that Harry was in trouble when he walked in He wasnt even adult enough to be allowed to get in the the pubs
,val
,Its kind like hurry up and get on with the song already
,Love you
,HEDEF 2023
,its2018 i still listen
,400M
,MONSTER MONSTER MONSTER
,The devil in it all was the savior
,M A Y  2 0 1 8
,I love this song
,I love this song  Taylor
,HE BROOKE MY HEART
,So true
,May 2k 18 guys
,SELENA GOMEZ COME G GET IT SIMONE E SIMARIA RBD
,my shower song 3
,I am a 90s real HIPHOP virtuoso listener but this Taylor Swift song has me like  I dont care even if my buddies see me
,this was when she was so young
,This is where everything started
,I like to sing the song
,I like to sing the song
,Tik tok con cc
,2018 anyone Come ON I KNOW IM NOT ALONE
,hau see yey
,He broke my heart he doesnt love me but Im So sexy XD
,M A Y 2018
,Lolllollloollloollooll
,This song is factually very Dope
,Who is watching May 2018
,May 2018 anyone
,Ta piosenka jest super Sucham jej codziennie
,My fav Taylor song the truth in the lyrics and what she says in beginning is osm
,You talk too much Taylor
,400m
,MAY 2018 MY DUDES
,Nostalgias hitting me harder than that guy got punched
,ELA TA CHEGANDO GALERA
,Enyone watchin in 2089
,Guys Taylor needs to get dumped again We need more songs like this one
,Mankge Stuart
,I just saw collins keys necklace
,Taylor is such a girly girl
,Does anyone know this song is about harry styles Oh right everyone knows that ok right right then
,Yaseen Qamar
,206 song actually starts
,May 2018 anyone
,RIP Avicii
,400M is me hahahahah
,2018 May anyone
,M A Y   2 0 1 8
,im in trouble trouble trouble for pretending that i have sick and skip school
,400 M views  Yaay
,yeahhhfinally400m
,yeahhhfinally400m
,Im meant to be doing a college controlled assessment atmoops distracted by Taylor
,400 M
,Fuckboii the song
,ITHIS SONG GIVES ME SO MANY GOOSEBUMPS
,400MFinally
,I love your songs
,The best song forever
,400M
,MAY 2 0 1 8
,Nostalogia
,Whats happeningLWYMMD 900M  IKYWT 400Mso cool
,Toan Van OMG
,Now Im lying on the cold hard groundBAH BAH BAH
,Fab music Taylor like this if you read it
,TROUBLE TROUBLE
,400m congratulations
,i will always love this song
,I Knew You Were Trouble reached 400 Million views today Road to 500 Million swifties
,400 M views  taylor 3 love from Greece
,Almost 400M
,haaasshhthe wait is almost oversooo effing close to 400m
,Stream stream
,What
,eu
,400M views ehh
,mai 2018
,4 ildir bu mahnnn adn axtarram
,This was 2012 bamboo entertainment pranked us they say 2010
,i love this song
,aaaaah aaaaah trouble trouble trouble
,Hey harry styles thats for you babe
,This song about john mayer
,Are you Swiftie
,Yaa
,Same as me Vanessa HAHAHAHAHA
,400 million views 30 million subs
,Reeve Carney
,400m and 1 May 2018
,ZAJEBISTEEEE
,Pop perfection
,wow taylor youre so awesome
,All of Taylors music is shit but this is perhaps her stupidest song ever She goes from sounding like a monkey Eeeeeeeeeeee to sounding like her balls dropped Trouboo troubootrouboo
,If you dont like her song you should dont listen and shut up
,Good musc
,Das bringt gleich Erinnerungen mit sich Das waren noch Zeiten als ich solche Lieder lieber als alles andere whrend der Fahrt zum Kindergarten gehrt habe
,sheesh Im much older than Taylor but I can totally relate to this song with a jerk that I should have known was trouble the minute I met him
,im seriously obbsesed with this song i luv it
,I wish Taylor never changed I miss the old Taylor
,399 Mn Goruntulenme Ne Amk Asdasdasdasd
,Did u do that
,Did u do tjat
,Omg
,Im sorry the old Taylor cant come to the phone right nowWhyOh Cause shes dead
,Irene DiLaurentis coz Shes Dead NOT Cause Shes Dead
,m teen and  m watching this song
,didnt mean anything
,M A Y 2 0 1 8
,Best song ever
,M A Y 2 0 1 8
,He cheated on her with Kesha
,So this is where bad boy fanfiction berry styles comes from
,I will change myself so you can love me I AM SO SESCI
,HEEEEEEE BROKE MY HEART
,Anyone still going to memory lane in 2018
,My trouble is when is card giving and see my card c he grounded me on my gadgets
,I feel you girl
,this video is the most life is strange thing ive ever seen
,Im feeling 22 oh wait wrong song oops
,here before 400m views
,I never forget
,By far still my favourite TS song
,harry harry harry harry harry harry harry harry harry harry harry harry harry
,This song about john mayer
,Wow i just found out reeve is in this im so
,Anyone else notice that the guy in this mv is the actor who acts in penny dreadful as dorian gray
,This song for harry
,This song about john mayer
,I love Tayler Swift
,I heard lots of her songs were based on things that happend in her life wonder if this was based on something too
,Hi My name is lily  I love the sound of your voice so much  When I grow up I want to be like you
,I love troubles
,Im not trouble B
,Trkler nerde
,cant believe this was b4 5y
,Once upon a time a few mistakes agoI was in your sights you got me aloneYou found me you found me you found meI guess you didnt care and I guess I liked thatAnd when I fell hard you took a step backWithout me without me without meAnd hes long gone when hes next to meAnd I realize the blame is on meCause I knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenTil you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleNo apologies Hell never see you cryPretends he doesnt know that hes the reason whyYoure drowning youre drowning youre drowningNow I heard you moved on from whispers on the streetA new notch in your belt is all Ill ever beAnd now I see now I see now I seeHe was long gone when he met meAnd I realize the joke is on me yeahI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenTil you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleAnd the saddest fear comes creeping inThat you never loved me or her or anyone or anything yeahI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenTil you put me down ohI knew you were trouble when you walked in you were right there you were right thereSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleI knew you were trouble when you walked inTrouble trouble troubleI knew you were trouble when you walked inTrouble trouble trouble
,This whole video feels like the ugly version of lana del rey  ride
,I miss 2012
,Harry styles
,YOUTUBE INSIDERS this song about john mayer
,400M
,The nostalgia is real tho
,This Song Is About HarryStyles
,sabiq sabi noits about john mayer
,Lol Iam in a huge trouble for playing pranks on my teacher
,Anyone 2018
,400M
,I am in love  with her voice and the song is so fun and I am very happy
,Fun yet challenging
,That intro didnt fit the song at all
,I bet her armpits smell great
,Im  in trouble if i dont finish my chores or no party for me
,I think I think when its all over it just comes back in flashes you knowIts like a kaleidoscope of memories but it just all comes backBut he never doesI think part of me knew the second I saw him that this would happenIts not really anything he said or anything he didIt was the feeling that came along with itAnd crazy thing is I dont know if Im ever gonna feel that way againBut I dont know if I should I knew his world moved too fast and burned too brightBut I just thought how can the devil be pulling you towards someone who looks so much like an angel when he smiles at youMaybe he knew that when he saw meI guess I just lost my balance I think that the worst part of it all wasnt losing him it was losing meOnce upon timeA few mistakes agoI was in your sightsYou got me aloneYou found meYou found meYou bound meI guess you didnt careAnd I guess I liked thatAnd when I fell hardYou took a step backWithout me without me without meAnd hes long goneWhen hes next to meAnd I realize the blame is on meCause I knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenSo you put me down ohI knew you were trouble when you walked inSo shame on me nowFlew me to places Id never beenNow Im lying on the cold hard groundOh oh trouble trouble troubleOh oh trouble trouble troubleNo apologiesHell never see you cryPretend he doesnt knowThat hes the reason whyYoure drowning youre drowning youre drowningAnd I heard you moved onFrom whispers on the streetA new notch in your beltIs all Ill ever beAnd now I see now I see now I seeHe was long goneWhen he met meAnd I realize the joke is on meChorusWhen your sadest fear comes creeping inThat you never loved me or her or anyone or anythingYeahChorusI knew you were trouble when you walked inTrouble trouble troubleI knew you were trouble when you walked inTrouble trouble troubleI dont know if you know who you are until you lose who you areSaba que eras un problemaPienso que que cuando todo ha llegado a su fin todo se repite en flashes sabesEs como un caleidoscopio de recuerdos pero todo regresaExcepto lPienso que parte de m saba al segundo que lo v que sto pasaraEn realidad no es algo que l haya dicho o hechoEra la sensacin que sto envolvaY lo ms desconcertante es que no s si volver a sentirme as otra vezAn as no s si debera Saba que su mundo se mova de manera rpida y que brillaba cual solPero pens Cmo puede el diablo empujarte a los brazos de alguien que luce lo ms parecido a un ngel cuando te sonreQuiz l lo saba cuando me vioSupongo que perd mi balance Pienso que la peor parte de todo esto no fue perderlo a l sino perderme a mrase una vezAlgunos errores atrsEstaba en tu vistaMe agarraste solaMe encontrasteMe encontrasteMe aprisionasteeeSupongo que no me importY supongo que me gustY cuando ya haba cadoDiste un paso atrsSin m sin m sin mY hace mucho queNo est junto a mY me doy cuenta queLa culpa es maPorque saba que eras un problema cuando entrasteQu vergenza de mMe llevaste a lugares donde nunca haba estadoY as me dejaste tiradaSaba que eras un problema cuando entrasteQu vergenza de mMe llevaste a lugares donde nunca haba estadoAhora estoy tirada en el fro sueloOh oh problema problema problemaOh oh problema problema problemaNo ms disculpasl nunca te ver llorarActa como si no lo notaraEs por eso queTe ahogas te ahogas te ahogasasasO que te mudasteDe susurros en la calleUn nuevo logro en tu rcordEs todo lo que siempre serY ahora lo s ahora lo s ahora lo sY hace mucho queLleg a mY ahora me doy cuenta queSiempre su burla fuCoroCuando tu miedo ms triste arrastrndose te hace verQue nunca me amaste ni a ella ni a nadie ni a nadaSCoroPorque saba que eras un problema cuando entrasteProblema problema problemaPorque saba que eras un problema cuando entrasteProblema problema problemaNo s si sabes quin eres hasta que pierdes a quin eres
,Before 400 mill   Someone
,I love this song its kind of sad at the beginning
,I love Taylor Swift
,favorite song3
,i remember when it was new song and i was scared because they were screaming and hitting each other
,Im so fucking love this song
,Dont you dare talk like that to Harry He hasnt done anything You werent good enough for him I am always gonna support Harry for every choice he make
,Gelecekten selamlar
,who is having trouble trouble in studiesthen hit the like buttonand if a swifty then make a comment too u taylor
,M    A      Y2018
,I honestly want to do a dance routine Im a dancer to just the part of her speaking
,A song about Harry styles good
,Semmi Senthil this song about john mayer
,2   0       1         8
,You cant hear this song before Maths test believe me Painful memories
,I think she is no boyfriend
,Whos here before 400M  wait for Reputation Stadium Tour
,While people are asking if people are watching in 2018 Im asking if anyone will be watching in 2030
,inspired by harry styles
,I CAUGHT FEELINGS FOR THIS F BOY SO NOW IM HERE
,2018 your awesome
,I knew who is this song about
,What is the background song in the intro called
,Shame on you for falling in love with a devil talor
,Love this Like if you too
,Before 400 million
,amei
,FOR HARRY STYLES
,this song about john mayer
,why do i ship this
,Am i the only one still have the nostalgic feelings when listening to her old songs Which actually reminds the songs connection with our past life
,300K more to 400M
,Guys lets make historyLets make taylor the first female singer to reach 3billionLets focus on Bad Blood Blank Space and Shake It offafter that look what you made me doincrease also the views of end game and delicatealso gotta remind you that in 2019 You belong with me will turn 10 and lets make it 1 billion before it turns 10I know we can do thisPlus we can make I knew you were trouble 1 billion
,Here before 400 M views
,I love those days This song brings so many memories
,April 26 and i like this song alsi i like taylor swift
,Bubble bubble
,Stop breaking my heartWhy I realize you too late
,5 years later still an amazing song
,2019 everyone
,Can we get 400m
,He broke my heart memelyricsoh yeah He broke my heart is the other version Lets start He broke my heart he doesnt want me but finally ill set my love free yes ill change myself so you can love me im so sexy you close your heart for you ill cross the sea cause ill change myself so you can love me im so sexy you close your heart for you u i ate 11 bees now im ready to persue my loveAhhhhhhhhAhhhhhhhhMonster Monster Monsterrepeat 2
,i love you taylor swift
,not bad
,my boy harold
,I knew my best friends bf was trouble when he walked in Now shes lying on the hard ground So shame on you Matthew if you see this
,Who else has this stuck in ther head
,She can be a move acter lmao
,Love you
,DORIAN
,Now Im lying on the cold hard bed
,I JUST TRY A TAYLORS SONG JUST TO TRY IT I JUST GET ADDIXTED TO IT WHY WHY IS IT SATANIC SHT I KNEW THIS WAS TROUBLE Trouble TroublE MAN I LUV IT
,que vdeo mas lindo me abre el corazn
,Love Taylor
,TOKAGE Tiktok
,Niye Trk Yok
,I LOVE YOU
,Wow wow wow
,I knew you were trouble when you took the last slice of the pizza
,Now im laying on the warm soft bed OHHHHH OHHHHH Chips  Chips  Chips
,This is a diss track on Harry styles
,This song about john mayer
,this song is so catchy xD ive been listening to this song ever since it came out and i never ever got bored of it
,2018 and Im just now feeling it
,Most pretentious opening of all time Good song tho
,MAY 2K18
,TRANNY
,Vector
,i love the tom odells version
,She made this in 2013 so not 2018
,NOSTALGIA APRIL 2018 OMG
,OK
,Rip Avicii
,5000 B C any one aah aahh oohhoo no no
,Now
,RIP Avicii
,Its so odd not seeing that goat appear in the music video
,Who though that shes talking about Ed Sheeren I think theyre in love 3
,This is one of my most favorite song of all time
,intro of 2 fking minutes ill just skip this song then
,We absolutely are perfect match
,I love Talor from Thailand
,When shes having her 1st sleep over and chooses to let some loser get in her bedroom to play a long While I smoke bud with the brothers and laugh at herNot cool
,2018 D
,Deutschland
,Setting fire to summon out whats inside the cave i ll give a reminder there s only bats and there s no clue where the drawings are smell your perfume and walk with pride to your big town
,Jadi inget mantanah sudahlah
,I love the starting monologue it feels like its about All Too Wellit all comes back in flashes a caleidoscope of memories fits the structure of ATW of random snippets of memories like driving through upstate in fallthe worst part wasnt losing him it was losing me  Id like to be my old self again but Im still trying to find it
,My little Dorian Gray
,It was losing me
,Nguyen Ngoc Kieu Huong
,424 love the part
,Im in trouble trouble trouble bcz I have no boy frnd
